Index,Date,Hour,Precip_mm,Global Radiation (Kj/m²),Atm_pressure_mb,Air_temp_C,Dew_Point_Temp_C,Rel_Humidity_percent,Wind_dir_deg,Gust,Wind_Speed,Brazilian_Geopolitical_Regions,State,Station_Name,Station_Code,Latitude,Longitude,Elevation,Precip_mm_diff_1,Global Radiation (Kj/m²)_diff_1,Atm_pressure_mb_diff_1,Air_temp_C_diff_1,Dew_Point_Temp_C_diff_1,Rel_Humidity_percent_diff_1,Gust_diff_1,Wind_Speed_diff_1,Precip_mm_diff_2,Global Radiation (Kj/m²)_diff_2,Atm_pressure_mb_diff_2,Air_temp_C_diff_2,Dew_Point_Temp_C_diff_2,Rel_Humidity_percent_diff_2,Gust_diff_2,Wind_Speed_diff_2,Precip_mm_diff_3,Global Radiation (Kj/m²)_diff_3,Atm_pressure_mb_diff_3,Air_temp_C_diff_3,Dew_Point_Temp_C_diff_3,Rel_Humidity_percent_diff_3,Gust_diff_3,Wind_Speed_diff_3,Precip_mm_diff_4,Global Radiation (Kj/m²)_diff_4,Atm_pressure_mb_diff_4,Air_temp_C_diff_4,Dew_Point_Temp_C_diff_4,Rel_Humidity_percent_diff_4,Gust_diff_4,Wind_Speed_diff_4,Precip_mm_diff_5,Global Radiation (Kj/m²)_diff_5,Atm_pressure_mb_diff_5,Air_temp_C_diff_5,Dew_Point_Temp_C_diff_5,Rel_Humidity_percent_diff_5,Gust_diff_5,Wind_Speed_diff_5,Precip_mm_diff_6,Global Radiation (Kj/m²)_diff_6,Atm_pressure_mb_diff_6,Air_temp_C_diff_6,Dew_Point_Temp_C_diff_6,Rel_Humidity_percent_diff_6,Gust_diff_6,Wind_Speed_diff_6,Precip_mm_diff_7,Global Radiation (Kj/m²)_diff_7,Atm_pressure_mb_diff_7,Air_temp_C_diff_7,Dew_Point_Temp_C_diff_7,Rel_Humidity_percent_diff_7,Gust_diff_7,Wind_Speed_diff_7,Precip_mm_diff_8,Global Radiation (Kj/m²)_diff_8,Atm_pressure_mb_diff_8,Air_temp_C_diff_8,Dew_Point_Temp_C_diff_8,Rel_Humidity_percent_diff_8,Gust_diff_8,Wind_Speed_diff_8
139018,2017-12-21,2017-12-21 10:00:00,0.0,455.0,898.2,21.6,16.4,72.0,27.0,4.4,2.1,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,437.0,0.7000000000000455,2.0,0.4999999999999982,-7.0,0.8000000000000003,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139019,2017-12-21,2017-12-21 11:00:00,0.0,1096.0,898.8,22.9,16.7,68.0,30.0,6.6,3.3,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,641.0,0.599999999999909,1.2999999999999972,0.3000000000000007,-4.0,2.1999999999999993,1.1999999999999997,0.0,1078.0,1.2999999999999545,3.299999999999997,0.7999999999999989,-11.0,2.9999999999999996,1.4999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139020,2017-12-21,2017-12-21 12:00:00,0.0,2137.0,899.0,24.1,17.4,66.0,32.0,8.8,4.7,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,1041.0,0.20000000000004547,1.2000000000000028,0.6999999999999993,-2.0,2.200000000000001,1.4000000000000004,0.0,1682.0,0.7999999999999545,2.5,1.0,-6.0,4.4,2.6,0.0,2119.0,1.5,4.5,1.4999999999999982,-13.0,5.200000000000001,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139021,2017-12-21,2017-12-21 13:00:00,0.0,2708.0,898.9,26.0,17.4,59.0,56.0,8.3,3.9,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,571.0,-0.10000000000002274,1.8999999999999986,0.0,-7.0,-0.5,-0.8000000000000003,0.0,1612.0,0.10000000000002274,3.1000000000000014,0.6999999999999993,-9.0,1.700000000000001,0.6000000000000001,0.0,2253.0,0.6999999999999318,4.399999999999999,1.0,-13.0,3.9000000000000004,1.7999999999999998,0.0,2690.0,1.3999999999999773,6.399999999999999,1.4999999999999982,-20.0,4.700000000000001,2.0999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139022,2017-12-21,2017-12-21 14:00:00,0.0,3552.0,898.8,27.2,17.7,56.0,46.0,8.8,3.4,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,844.0,-0.10000000000002274,1.1999999999999993,0.3000000000000007,-3.0,0.5,-0.5,0.0,1415.0,-0.20000000000004547,3.099999999999998,0.3000000000000007,-10.0,0.0,-1.3000000000000003,0.0,2456.0,0.0,4.300000000000001,1.0,-12.0,2.200000000000001,0.10000000000000009,0.0,3097.0,0.599999999999909,5.599999999999998,1.3000000000000007,-16.0,4.4,1.2999999999999998,0.0,3534.0,1.2999999999999545,7.599999999999998,1.799999999999999,-23.0,5.200000000000001,1.5999999999999999,,,,,,,,,,,,,,,,,,,,,,,,
139023,2017-12-21,2017-12-21 15:00:00,0.0,3548.0,898.5,26.5,16.5,54.0,21.0,7.3,3.2,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-4.0,-0.2999999999999545,-0.6999999999999993,-1.1999999999999993,-2.0,-1.5000000000000009,-0.19999999999999973,0.0,840.0,-0.39999999999997726,0.5,-0.8999999999999986,-5.0,-1.0000000000000009,-0.6999999999999997,0.0,1411.0,-0.5,2.3999999999999986,-0.8999999999999986,-12.0,-1.5000000000000009,-1.5,0.0,2452.0,-0.2999999999999545,3.6000000000000014,-0.1999999999999993,-14.0,0.7000000000000002,-0.09999999999999964,0.0,3093.0,0.2999999999999545,4.899999999999999,0.10000000000000142,-18.0,2.8999999999999995,1.1,0.0,3530.0,1.0,6.899999999999999,0.5999999999999996,-25.0,3.6999999999999997,1.4000000000000001,,,,,,,,,,,,,,,,
139024,2017-12-21,2017-12-21 16:00:00,0.0,3305.0,897.9,28.9,16.7,48.0,30.0,9.1,2.6,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-243.0,-0.6000000000000227,2.3999999999999986,0.1999999999999993,-6.0,1.7999999999999998,-0.6000000000000001,0.0,-247.0,-0.8999999999999773,1.6999999999999993,-1.0,-8.0,0.29999999999999893,-0.7999999999999998,0.0,597.0,-1.0,2.8999999999999986,-0.6999999999999993,-11.0,0.7999999999999989,-1.2999999999999998,0.0,1168.0,-1.1000000000000227,4.799999999999997,-0.6999999999999993,-18.0,0.29999999999999893,-2.1,0.0,2209.0,-0.8999999999999773,6.0,0.0,-20.0,2.5,-0.6999999999999997,0.0,2850.0,-0.3000000000000682,7.299999999999997,0.3000000000000007,-24.0,4.699999999999999,0.5,0.0,3287.0,0.39999999999997726,9.299999999999997,0.7999999999999989,-31.0,5.5,0.8,,,,,,,,
139025,2017-12-21,2017-12-21 17:00:00,0.0,3528.0,897.2,28.8,16.6,48.0,29.0,7.7,2.3,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,223.0,-0.6999999999999318,-0.09999999999999787,-0.09999999999999787,0.0,-1.3999999999999995,-0.30000000000000027,0.0,-20.0,-1.2999999999999545,2.3000000000000007,0.10000000000000142,-6.0,0.40000000000000036,-0.9000000000000004,0.0,-24.0,-1.599999999999909,1.6000000000000014,-1.0999999999999979,-8.0,-1.1000000000000005,-1.1,0.0,820.0,-1.6999999999999318,2.8000000000000007,-0.7999999999999972,-11.0,-0.6000000000000005,-1.6,0.0,1391.0,-1.7999999999999545,4.699999999999999,-0.7999999999999972,-18.0,-1.1000000000000005,-2.4000000000000004,0.0,2432.0,-1.599999999999909,5.900000000000002,-0.09999999999999787,-20.0,1.1000000000000005,-1.0,0.0,3073.0,-1.0,7.199999999999999,0.20000000000000284,-24.0,3.3,0.19999999999999973,0.0,3510.0,-0.2999999999999545,9.2,0.7000000000000011,-31.0,4.1,0.4999999999999998
139026,2017-12-21,2017-12-21 18:00:00,0.0,3130.0,896.2,29.3,14.7,41.0,51.0,5.3,2.7,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-398.0,-1.0,0.5,-1.9000000000000021,-7.0,-2.4000000000000004,0.40000000000000036,0.0,-175.0,-1.6999999999999318,0.40000000000000213,-2.0,-7.0,-3.8,0.10000000000000009,0.0,-418.0,-2.2999999999999545,2.8000000000000007,-1.8000000000000007,-13.0,-2.0,-0.5,0.0,-422.0,-2.599999999999909,2.1000000000000014,-3.0,-15.0,-3.500000000000001,-0.6999999999999997,0.0,422.0,-2.699999999999932,3.3000000000000007,-2.6999999999999993,-18.0,-3.000000000000001,-1.1999999999999997,0.0,993.0,-2.7999999999999545,5.199999999999999,-2.6999999999999993,-25.0,-3.500000000000001,-2.0,0.0,2034.0,-2.599999999999909,6.400000000000002,-2.0,-27.0,-1.2999999999999998,-0.5999999999999996,0.0,2675.0,-2.0,7.699999999999999,-1.6999999999999993,-31.0,0.8999999999999995,0.6000000000000001
139027,2017-12-21,2017-12-21 19:00:00,0.0,2554.0,895.6,28.3,15.2,45.0,60.0,6.0,3.1,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-576.0,-0.6000000000000227,-1.0,0.5,4.0,0.7000000000000002,0.3999999999999999,0.0,-974.0,-1.6000000000000227,-0.5,-1.4000000000000021,-3.0,-1.7000000000000002,0.8000000000000003,0.0,-751.0,-2.2999999999999545,-0.5999999999999979,-1.5,-3.0,-3.0999999999999996,0.5,0.0,-994.0,-2.8999999999999773,1.8000000000000007,-1.3000000000000007,-9.0,-1.2999999999999998,-0.10000000000000009,0.0,-998.0,-3.199999999999932,1.1000000000000014,-2.5,-11.0,-2.8000000000000007,-0.2999999999999998,0.0,-154.0,-3.2999999999999545,2.3000000000000007,-2.1999999999999993,-14.0,-2.3000000000000007,-0.7999999999999998,0.0,417.0,-3.3999999999999773,4.199999999999999,-2.1999999999999993,-21.0,-2.8000000000000007,-1.6,0.0,1458.0,-3.199999999999932,5.400000000000002,-1.5,-23.0,-0.5999999999999996,-0.19999999999999973
139028,2017-12-21,2017-12-21 20:00:00,0.0,1165.0,895.2,27.7,16.5,50.0,77.0,6.6,2.9,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-1389.0,-0.39999999999997726,-0.6000000000000014,1.3000000000000007,5.0,0.5999999999999996,-0.20000000000000018,0.0,-1965.0,-1.0,-1.6000000000000014,1.8000000000000007,9.0,1.2999999999999998,0.19999999999999973,0.0,-2363.0,-2.0,-1.1000000000000014,-0.10000000000000142,2.0,-1.1000000000000005,0.6000000000000001,0.0,-2140.0,-2.699999999999932,-1.1999999999999993,-0.1999999999999993,2.0,-2.5,0.2999999999999998,0.0,-2383.0,-3.2999999999999545,1.1999999999999993,0.0,-4.0,-0.7000000000000002,-0.30000000000000027,0.0,-2387.0,-3.599999999999909,0.5,-1.1999999999999993,-6.0,-2.200000000000001,-0.5,0.0,-1543.0,-3.699999999999932,1.6999999999999993,-0.8999999999999986,-9.0,-1.700000000000001,-1.0,0.0,-972.0,-3.7999999999999545,3.599999999999998,-0.8999999999999986,-16.0,-2.200000000000001,-1.8000000000000003
